"Product ID","Product Name","Variation Attributes","Quantity Sold","wwp_wholesale_role"
"10355","Mental Clarity | CBD + Ginkgo Leaf, Shatavari, Rhodiola, & Ashwagandha","4-oz","90","wholesale_customer"
"2738","Immunity Support | CBD + Turmeric Capsules","4-oz","90","wholesale_customer"
"8338","Peace | Hemp CBD Smoking Blend","","89","wholesale_customer"
"33241","Blood Flow | CBD + Garlic, Butcher’s Broom & Birch","1-oz","88",""
"36174","Golden Dream Overstock Sale","8-get-4-free","87",""
"404","Hemp-Derived CBD Tea","chai-awakening","87",""
"8337","Center | Hemp CBD Smoking Blend","","85","wholesale_customer"
"32740","Garden of Eden Superfood | CBD Protein Powder","","84","wholesale_customer"
"33241","Blood Flow | CBD + Garlic, Butcher’s Broom & Birch","1-oz","84","wholesale_customer"
"2276","Wild Rosin Honey | CBD Honey","2-oz","83","wholesale_customer"
"10419","Cleanse | CBD + Charcoal, Dandelion & Chaga","4-oz","77",""
"2182","Unwind | CBD Essential Oil Roller","","77","wholesale_customer"
"9761","Orange Turmeric | CBD Honey","2-oz-jar-8-servings","77",""
"6913","Chocodelic Trip | CBD Hot Cocoa","large-9-servings","74","wholesale_customer"
"24221","Energizing CBD Sugar Scrub | Earl Grey, Kaolin & Sugar","","73",""
"7484","Love | CBD Essential Oil Roller","","70",""
"2181","Insight | CBD Essential Oil Roller","","69",""
"20965","Supreme Vitality | CBD + Reishi, Chaga, Cordyceps & 7 Other Mushrooms","4-oz","66","wholesale_customer"
"404","Hemp-Derived CBD Tea","buddhas-berry","64",""
"2183","Focus | CBD Essential Oil Roller","","63",""
"43704","Magickal Mushroom Superfood | Chocolate CBD Protein Powder","","62",""
"37303","Breakfast Buzz | Hemp CBD Tea","20-pack","61",""
"404","Hemp-Derived CBD Tea","highbiscus","61",""
"2180","Restful | CBD Essential Oil Roller","","59","wholesale_customer"
"36333","Mellow Mint Overstock Sale","8-get-4-free","59",""
"7956","Sacred | Hemp CBD Flower Blend","","58","wholesale_customer"
"2183","Focus | CBD Essential Oil Roller","","56","wholesale_customer"
"5636","Digest Well | CBD + Licorice, Ginger & Peppermint","4-oz","56","wholesale_customer"
"22560","Lemon Ginger | CBD Honey","2-oz-jar-8-servings","55",""
"20816","Stomach Soother | Peppermint Hemp CBD Tincture","","54","wholesale_customer"
"404","Hemp-Derived CBD Tea","sensualitea","53",""
"45114","Limited Edition Wildflower Honey | Delta-8 Honey","2-oz-jar-8-servings","53","wholesale_customer"
"23741","Kush Hemp CBD Flower | Craft CBD Flower","7-grams","52","wholesale_customer"
"7484","Love | CBD Essential Oil Roller","","51","wholesale_customer"
"8270","The Brothers Mug | Handcrafted Mug","","51",""
"42397","Calming K9 | CBD Oil for Dogs","","49",""
"14790","Blue Moon Milk | CBD Latte","large-9-servings","45","wholesale_customer"
"33241","Blood Flow | CBD + Garlic, Butcher’s Broom & Birch","4-oz","44",""
"22554","Hibiscus Goji Berry | CBD Honey","2-oz-jar-8-servings","43",""
"404","Hemp-Derived CBD Tea","oolong-passion","42",""
"1367","Golden Dream | Hemp CBD Tea","20-pack","40","wholesale_customer"
"4110","Apothecary CBD Tea Gift 8-Pack ($120 Value)","regular-shipping","40",""
"43704","Magickal Mushroom Superfood | Chocolate CBD Protein Powder","","40","wholesale_customer"
"1575","Mystic Kava Root | Hemp CBD Tea","1-pack","39",""
"2181","Insight | CBD Essential Oil Roller","","39","wholesale_customer"
"404","Hemp-Derived CBD Tea","cosmic-cleanse","38",""
"2753","Super Greens | CBD + Spirulina & Wheatgrass","4-oz","35","wholesale_customer"
"33241","Blood Flow | CBD + Garlic, Butcher’s Broom & Birch","4-oz","35","wholesale_customer"
"2277","Oolong Passion | Hemp CBD Tea","20-pack","33","wholesale_customer"
"25785","Super Citrus | CBD + Citrus & Elderberry","4-oz","33","wholesale_customer"
"45114","Limited Edition Wildflower Honey | Delta-8 Honey","3-pack","33",""
"6914","Golden Milk | CBD Turmeric Latte","large-9-servings","30","wholesale_customer"
"22560","Lemon Ginger | CBD Honey","5-pack","28","wholesale_customer"
"1359","Mellow Mint | Hemp CBD Tea","20-pack","27","wholesale_customer"
"33244","Coconut Genmaicha | Hemp CBD Tea","20-pack","27",""
"22560","Lemon Ginger | CBD Honey","2-oz-jar-8-servings","26","wholesale_customer"
"45114","Limited Edition Wildflower Honey | Delta-8 Honey","5-pack-x5","26","wholesale_customer"
"10419","Cleanse | CBD + Charcoal, Dandelion & Chaga","4-oz","25","wholesale_customer"
"1330","Highbiscus | Hemp CBD Tea","20-pack","24","wholesale_customer"
"1363","Chai Awakening | Hemp CBD Tea","20-pack","24","wholesale_customer"
"15203","Organic Wildflower | CBD Honey","2-oz-jar-8-servings","23","wholesale_customer"
"45114","Limited Edition Wildflower Honey | Delta-8 Honey","5-pack","22",""
"9737","Lavender | CBD Honey","2-oz-jar-8-servings","22","wholesale_customer"
"1354","Buddha’s Berry | Hemp CBD Tea","20-pack","21","wholesale_customer"
"37314","Peppermint Treat | CBD Peppermint Cocoa","large-9-servings","21","wholesale_customer"
"9737","Lavender | CBD Honey","5-pack","21","wholesale_customer"
"6493","Cosmic Cleanse | Hemp CBD Tea","20-pack","20","wholesale_customer"
"8270","The Brothers Mug | Handcrafted Mug","","20","wholesale_customer"
"3219","Pumpkin Spice Chai | Hemp CBD Tea","20-pack","19","wholesale_customer"
"36174","Golden Dream Overstock Sale","16-get-8-free","18",""
"7316","Sensualitea | Hemp CBD Tea","20-pack","18","wholesale_customer"
"42397","Calming K9 | CBD Oil for Dogs","","17","wholesale_customer"
"9761","Orange Turmeric | CBD Honey","5-pack","17","wholesale_customer"
"3951","Mighty Matcha | CBD Matcha","matcha-whisk-spoon","15","wholesale_customer"
"1575","Mystic Kava Root | Hemp CBD Tea","20-pack","14",""
"22554","Hibiscus Goji Berry | CBD Honey","2-oz-jar-8-servings","14","wholesale_customer"
"22554","Hibiscus Goji Berry | CBD Honey","5-pack","12","wholesale_customer"
"45114","Limited Edition Wildflower Honey | Delta-8 Honey","3-pack","11","wholesale_customer"
"9761","Orange Turmeric | CBD Honey","2-oz-jar-8-servings","10","wholesale_customer"
"15203","Organic Wildflower | CBD Honey","5-pack","9","wholesale_customer"
"15203","Organic Wildflower | CBD Honey","5-pack-x5","9","wholesale_customer"
"36333","Mellow Mint Overstock Sale","16-get-8-free","9",""
"15203","Organic Wildflower | CBD Honey","3-pack-x10","8","wholesale_customer"
"1575","Mystic Kava Root | Hemp CBD Tea","3-pack","8","wholesale_customer"
"33244","Coconut Genmaicha | Hemp CBD Tea","20-pack","8","wholesale_customer"
"45114","Limited Edition Wildflower Honey | Delta-8 Honey","3-pack-x10","8","wholesale_customer"
"9737","Lavender | CBD Honey","3-pack-x10","8","wholesale_customer"
"36174","Golden Dream Overstock Sale","40-get-22-free","7",""
"404","Hemp-Derived CBD Tea","","7",""
"37303","Breakfast Buzz | Hemp CBD Tea","20-pack","5","wholesale_customer"
"9737","Lavender | CBD Honey","5-pack-x5","4","wholesale_customer"
